playerId,playerName,dateOfBirth,birthPlaceAreaId,birthPlaceAreaName,passportAreaId,passportAreaName,foot,height,weight,playerImageUrl,seasonId,seasonName,startDate,endDate,contractSigned,contractExpiration,snapshot_date,fairPrice
328209,Erling Haaland,2000-07-21,19,England,100,Norway,left,195.0,94.0,https://cdn5.wyscout.com/photos/players/public/g441484_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2022-07-01,2027-06-30,2024-05-13,207013636.92243779
328209,Erling Haaland,2000-07-21,19,England,100,Norway,left,195.0,94.0,https://cdn5.wyscout.com/photos/players/public/g441484_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2025-01-17,2034-06-30,2025-05-19,197384770.67667854
406808,Cole Palmer,2002-05-06,19,England,19,England,left,189.0,74.0,https://cdn5.wyscout.com/photos/players/public/g-66123_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2024-08-13,2033-06-30,2025-05-19,159019478.80373794
385494,Bukayo Saka,2001-09-05,19,England,104,Nigeria,left,178.0,65.0,https://cdn5.wyscout.com/photos/players/public/g496730_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2023-05-23,2027-06-30,2024-05-13,158226145.86833528
342411,Phil Foden,2000-05-28,19,England,19,England,left,171.0,69.0,https://cdn5.wyscout.com/photos/players/public/g453102_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2022-10-14,2027-06-30,2024-05-13,147696630.77181324
385494,Bukayo Saka,2001-09-05,19,England,104,Nigeria,left,178.0,65.0,https://cdn5.wyscout.com/photos/players/public/g496730_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2023-05-23,2027-06-30,2025-05-19,130024905.88139743
299748,Declan Rice,1999-01-14,19,England,161,Ireland,right,185.0,80.0,https://cdn5.wyscout.com/photos/players/public/g408158_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2023-07-15,2028-06-30,2024-05-13,129576034.46169011
342411,Phil Foden,2000-05-28,19,England,19,England,left,171.0,69.0,https://cdn5.wyscout.com/photos/players/public/g453102_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2022-10-14,2027-06-30,2025-05-19,113740797.97519329
309541,Alexander Isak,1999-09-21,57,Sweden,199,Eritrea,right,192.0,77.0,https://cdn5.wyscout.com/photos/players/public/g422165_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2022-08-26,2028-06-30,2025-05-19,113735365.95210877
544583,Ethan Nwaneri,2007-03-21,19,England,104,Nigeria,left,165.0,60.0,https://cdn5.wyscout.com/photos/players/public/g-258644_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2025-03-21,2030-06-30,2025-05-19,113058283.81089477
299748,Declan Rice,1999-01-14,19,England,161,Ireland,right,185.0,80.0,https://cdn5.wyscout.com/photos/players/public/g408158_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2023-07-15,2028-06-30,2025-05-19,110001137.75668061
452877,Moisés Caicedo,2001-11-02,201,Ecuador,201,Ecuador,right,178.0,71.0,https://cdn5.wyscout.com/photos/players/public/g-129006_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2023-08-14,2031-06-30,2024-05-13,107174585.38328533
406808,Cole Palmer,2002-05-06,19,England,19,England,left,189.0,74.0,https://cdn5.wyscout.com/photos/players/public/g-66123_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2023-09-01,2030-06-30,2024-05-13,106816408.6101
258117,Martin Ødegaard,1998-12-17,100,Norway,100,Norway,left,178.0,68.0,https://cdn5.wyscout.com/photos/players/public/g334861_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2023-09-22,2028-06-30,2024-05-13,106590644.34780605
426448,William Saliba,2001-03-24,191,France,221,Cameroon,right,192.0,85.0,https://cdn5.wyscout.com/photos/players/public/g-92877_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2023-07-07,2027-06-30,2024-05-13,105373496.8901839
406156,Julián Alvarez,2000-01-31,257,Argentina,257,Argentina,right,170.0,71.0,https://cdn5.wyscout.com/photos/players/public/g-65351_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2023-03-16,2028-06-30,2024-05-13,104773242.1099043
418932,Josko Gvardiol,2002-01-23,168,Croatia,168,Croatia,left,185.0,80.0,https://cdn5.wyscout.com/photos/players/public/g-82982_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2023-08-05,2028-06-30,2024-05-13,102620985.03205067
452877,Moisés Caicedo,2001-11-02,201,Ecuador,201,Ecuador,right,178.0,71.0,https://cdn5.wyscout.com/photos/players/public/g-129006_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2023-08-14,2031-06-30,2025-05-19,102172471.98354541
418932,Josko Gvardiol,2002-01-23,168,Croatia,168,Croatia,left,185.0,80.0,https://cdn5.wyscout.com/photos/players/public/g-82982_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2023-08-05,2028-06-30,2025-05-19,101562266.53285967
289354,Rodrigo Rodri,1996-06-22,197,Spain,197,Spain,right,191.0,82.0,https://cdn5.wyscout.com/photos/players/public/g395959_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2022-07-12,2027-06-30,2024-05-13,98765953.550871134
442691,Enzo Fernández,2001-01-17,257,Argentina,257,Argentina,right,178.0,78.0,https://cdn5.wyscout.com/photos/players/public/g-114707_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2023-01-31,2032-06-30,2024-05-13,97904346.313012436
358977,Alexis Mac Allister,1998-12-24,257,Argentina,156,Italy,right,174.0,72.0,https://cdn5.wyscout.com/photos/players/public/g468060_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2023-07-01,2028-06-30,2025-05-19,97545199.574355632
442691,Enzo Fernández,2001-01-17,257,Argentina,257,Argentina,right,178.0,78.0,https://cdn5.wyscout.com/photos/players/public/g-114707_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2023-01-31,2032-06-30,2025-05-19,97528432.736119151
402020,Darwin Núñez,1999-06-24,35,Uruguay,35,Uruguay,right,186.0,80.0,https://cdn5.wyscout.com/photos/players/public/g516682_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2022-07-01,2028-06-30,2024-05-13,97409375.756003082
258117,Martin Ødegaard,1998-12-17,100,Norway,100,Norway,left,178.0,68.0,https://cdn5.wyscout.com/photos/players/public/g334861_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2023-09-22,2028-06-30,2025-05-19,96485572.370956257
354836,Dominik Szoboszlai,2000-10-25,166,Hungary,166,Hungary,right,186.0,74.0,https://cdn5.wyscout.com/photos/players/public/g463719_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2023-07-02,2028-06-30,2025-05-19,95343476.709514663
396376,Ryan Gravenberch,2002-05-16,101,Netherlands,60,Suriname,right,190.0,77.0,https://cdn5.wyscout.com/photos/players/public/g508816_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2023-09-01,2028-06-30,2025-05-19,95057962.957052991
427287,Rasmus Højlund,2003-02-04,204,Denmark,204,Denmark,left,187.0,79.0,https://cdn5.wyscout.com/photos/players/public/g-93960_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2023-08-05,2028-06-30,2024-05-13,91176564.5175964
294347,Bruno Guimarães,1997-11-16,234,Brazil,197,Spain,right,182.0,74.0,https://cdn5.wyscout.com/photos/players/public/g402388_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2023-10-07,2028-06-30,2024-05-13,89377831.99898982
327189,Kai Havertz,1999-06-11,207,Germany,207,Germany,left,193.0,84.0,https://cdn5.wyscout.com/photos/players/public/g440864_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2023-07-01,2028-06-30,2024-05-13,89293187.049176544
492205,Nicolas Jackson,2001-06-20,74,Senegal,74,Senegal,right,187.0,78.0,https://cdn5.wyscout.com/photos/players/public/g-182396_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2023-07-01,2031-06-30,2024-05-13,85720599.347434714
332307,Luis Díaz,1997-01-13,217,Colombia,217,Colombia,right,180.0,73.0,https://cdn5.wyscout.com/photos/players/public/g442556_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2021-06-30,2027-06-30,2024-05-13,85420588.551621556
409931,Gabriel Martinelli,2001-06-18,234,Brazil,156,Italy,right,178.0,75.0,https://cdn5.wyscout.com/photos/players/public/g-70526_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2019-07-02,2027-06-30,2024-05-13,85149221.795385584
309541,Alexander Isak,1999-09-21,57,Sweden,199,Eritrea,right,192.0,77.0,https://cdn5.wyscout.com/photos/players/public/g422165_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2022-08-26,2028-06-30,2024-05-13,83015283.917553753
371832,Omar Marmoush,1999-02-07,200,Egypt,227,Canada,right,183.0,81.0,https://cdn5.wyscout.com/photos/players/public/g480170_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2025-01-23,2029-06-30,2025-05-19,82946040.091601774
508497,Alejandro Garnacho,2004-07-01,197,Spain,257,Argentina,right,180.0,69.0,https://cdn5.wyscout.com/photos/players/public/g-205310_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2023-04-28,2028-06-30,2024-05-13,82423471.962588757
354836,Dominik Szoboszlai,2000-10-25,166,Hungary,166,Hungary,right,186.0,74.0,https://cdn5.wyscout.com/photos/players/public/g463719_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2023-07-02,2028-06-30,2024-05-13,82119594.113608733
332307,Luis Díaz,1997-01-13,217,Colombia,217,Colombia,right,180.0,73.0,https://cdn5.wyscout.com/photos/players/public/g442556_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2021-06-30,2027-06-30,2025-05-19,81139809.403410062
289354,Rodrigo Rodri,1996-06-22,197,Spain,197,Spain,right,191.0,82.0,https://cdn5.wyscout.com/photos/players/public/g395959_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2022-07-12,2027-06-30,2025-05-19,81080544.674424574
358977,Alexis Mac Allister,1998-12-24,257,Argentina,156,Italy,right,174.0,72.0,https://cdn5.wyscout.com/photos/players/public/g468060_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2023-07-01,2028-06-30,2024-05-13,80400836.509459034
365262,Morgan Rogers,2002-07-26,19,England,19,England,right,185.0,73.0,https://cdn5.wyscout.com/photos/players/public/g473391_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2024-11-19,2030-06-30,2025-05-19,80039392.128408462
320421,Gabriel Magalhães,1997-12-19,234,Brazil,234,Brazil,left,190.0,87.0,https://cdn5.wyscout.com/photos/players/public/g433485_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2022-10-21,2027-06-30,2024-05-13,79804863.9412206
222445,Rúben Dias,1997-05-14,85,Portugal,85,Portugal,right,187.0,82.0,https://cdn5.wyscout.com/photos/players/public/g290253_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2021-06-30,2027-06-30,2024-05-13,79211570.124254331
426448,William Saliba,2001-03-24,191,France,221,Cameroon,right,192.0,85.0,https://cdn5.wyscout.com/photos/players/public/g-92877_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2023-07-07,2027-06-30,2025-05-19,79009239.63392745
322623,Cody Gakpo,1999-05-07,101,Netherlands,50,Togo,right,189.0,76.0,https://cdn5.wyscout.com/photos/players/public/g436584_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2023-01-01,2028-06-30,2025-05-19,77135987.47076866
294347,Bruno Guimarães,1997-11-16,234,Brazil,197,Spain,right,182.0,74.0,https://cdn5.wyscout.com/photos/players/public/g402388_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2023-10-07,2028-06-30,2025-05-19,76638184.83196339
500019,Mathys Tel,2005-04-27,191,France,181,Guadeloupe,right,183.0,77.0,https://cdn5.wyscout.com/photos/players/public/g-193833_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2025-02-03,2025-06-30,2025-05-19,76622380.826808929
351767,Dejan Kulusevski,2000-04-25,57,Sweden,363,North Macedonia,left,186.0,75.0,https://cdn5.wyscout.com/photos/players/public/g460405_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2023-07-01,2028-06-30,2024-05-13,73348549.614810556
561752,Leny Yoro,2005-11-13,191,France,222,Côte d'Ivoire,right,190.0,78.0,https://cdn5.wyscout.com/photos/players/public/g-282142_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2024-07-18,2029-06-30,2025-05-19,73221782.0450496
356536,Anthony Gordon,2001-02-24,19,England,19,England,right,183.0,72.0,https://cdn5.wyscout.com/photos/players/public/g465503_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2024-10-22,2030-06-30,2025-05-19,73133303.869444013
388353,Brennan Johnson,2001-05-23,19,England,8,Wales,right,179.0,73.0,https://cdn5.wyscout.com/photos/players/public/g-60272_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2023-09-01,2028-06-30,2024-05-13,72833715.036895841
508497,Alejandro Garnacho,2004-07-01,197,Spain,257,Argentina,right,180.0,69.0,https://cdn5.wyscout.com/photos/players/public/g-205310_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2023-04-28,2028-06-30,2025-05-19,72396801.1731836
427287,Rasmus Højlund,2003-02-04,204,Denmark,204,Denmark,left,187.0,79.0,https://cdn5.wyscout.com/photos/players/public/g-93960_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2023-08-05,2028-06-30,2025-05-19,71892181.746079922
322623,Cody Gakpo,1999-05-07,101,Netherlands,50,Togo,right,189.0,76.0,https://cdn5.wyscout.com/photos/players/public/g436584_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2023-01-01,2028-06-30,2024-05-13,71766485.091217116
462206,Murillo Santiago Murillo,2002-07-04,234,Brazil,234,Brazil,left,184.0,77.0,https://cdn5.wyscout.com/photos/players/public/g-141512_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2025-01-21,2029-06-30,2025-05-19,71433943.032330692
405619,Jérémy Doku,2002-05-27,247,Belgium,184,Ghana,right,173.0,77.0,https://cdn5.wyscout.com/photos/players/public/g-65210_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2023-08-24,2028-06-30,2024-05-13,70846300.635295227
320355,Cristian Romero,1998-04-27,257,Argentina,257,Argentina,right,185.0,79.0,https://cdn5.wyscout.com/photos/players/public/g433963_100x130.png,1773,2023/2024,2023-08-11,2024-05-19,2022-08-30,2027-06-30,2024-05-13,69952370.793797046
487918,Sávio Sávio,2004-04-10,234,Brazil,234,Brazil,left,176.0,71.0,https://cdn5.wyscout.com/photos/players/public/g-176084_100x130.png,862,2024/2025,2024-08-16,2025-05-25,2024-07-18,2029-06-30,2025-05-19,69845239.626348212
